timestep,episode,ep_reward,ep_length,win_rate_100,mean_reward_100,elapsed_s
21600,1,-7.853,5400,0.0,-7.853,11.2
21600,2,-7.874,5400,0.0,-7.864,11.2
21600,3,-5.672,5400,0.0,-7.133,11.2
21600,4,-5.257,5400,0.0,-6.664,11.2
43200,5,15.410,5400,0.0,-2.249,63.4
43200,6,18.026,5400,0.0,1.130,63.4
43200,7,34.773,5400,0.0,5.936,63.4
43200,8,6.076,5400,0.0,5.953,63.4
64800,9,-5.180,5400,0.0,4.716,107.6
64800,10,5.937,5400,0.0,4.838,107.6
64800,11,-0.183,5400,0.0,4.382,107.6
64800,12,-11.343,5400,0.0,3.072,107.6
86400,13,-6.742,5400,0.0,2.317,147.8
86400,14,-10.109,5400,0.0,1.429,147.8
86400,15,28.138,5400,0.0,3.210,147.8
86400,16,-8.414,5400,0.0,2.483,147.8
108000,17,4.815,5400,0.0,2.620,188.8
108000,18,49.298,5400,0.0,5.214,188.8
108000,19,48.379,5400,0.0,7.485,188.8
108000,20,21.874,5400,0.0,8.205,188.8
129600,21,52.278,5400,0.0,10.304,228.1
129600,22,5.289,5400,0.0,10.076,228.1
129600,23,52.935,5400,0.0,11.939,228.1
129600,24,1.253,5400,0.0,11.494,228.1
151200,25,60.800,5400,0.0,13.466,247.3
151200,26,38.513,5400,0.0,14.429,247.3
151200,27,35.069,5400,0.0,15.194,247.3
151200,28,34.258,5400,0.0,15.875,247.3
172800,29,51.675,5400,0.0,17.109,263.2
172800,30,51.812,5400,0.0,18.266,263.2
172800,31,52.065,5400,0.0,19.356,263.2
172800,32,31.578,5400,0.0,19.738,263.2
194400,33,51.417,5400,0.0,20.698,301.2
194400,34,51.993,5400,0.0,21.619,301.2
194400,35,50.511,5400,0.0,22.444,301.2
194400,36,51.788,5400,0.0,23.259,301.2
216000,37,51.801,5400,0.0,24.031,340.9
216000,38,52.198,5400,0.0,24.772,340.9
216000,39,54.893,5400,0.0,25.544,340.9
216000,40,54.211,5400,0.0,26.261,340.9
237600,41,52.966,5400,0.0,26.912,376.9
237600,42,53.522,5400,0.0,27.546,376.9
237600,43,52.167,5400,0.0,28.118,376.9
237600,44,23.071,5400,0.0,28.004,376.9
